time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot
1755072000,119580.4,120732.94,119446.22,120570.41,119917.99925285821,119122.94041666701,118617.88099999973,119786.88836173013,117348.02772222228,117305.5891649476
1755086400,120570.41,122200,120106.02,120920.62,120252.20616857214,119290.78000000033,118774.97866666639,119947.07962141176,117353.81877777784,117385.92318350433
1755100800,120920.61,122839.47,120920.61,122744.21,121082.87411238143,119549.46833333367,118984.67199999973,120134.6586128034,117369.40100000006,117504.9962238709
1755115200,122744.22,123667.79,122298.2,123306.43,121824.05940825428,119834.64250000035,119205.72833333306,120350.58179234483,117388.65238888895,117633.91697445154
1755129600,123306.44,124474,123250.5,123337.14,122328.41960550286,120036.19000000035,119437.49933333305,120587.36175365973,117423.03388888894,117760.65526390816
1755144000,123337.14,123428.6,121313.86,121725.31,122127.38307033524,120199.39875000036,119603.14266666638,120818.80633383236,117450.51272222228,117848.75870248798
1755158400,121725.31,122045.9,120694,120949.67,121734.81204689016,120308.52750000036,119731.13166666638,121032.09566570992,117471.82211111115,117917.6678424327
1755172800,120949.66,121183.06,117632,118257.25,120575.62469792677,120285.28791666702,119776.62433333305,121191.50403472128,117482.18777777784,117925.21411260085
1755187200,118257.26,118535,117180,117945.92,119699.05646528452,120255.40625000036,119823.63199999972,121295.93281737008,117490.6869444445,117925.67424343193
1755201600,117945.92,118516.81,117302.33,118295.09,119231.06764352301,120213.7845833337,119884.72666666638,121353.59088579801,117493.67027777783,117933.88348246679
1755216000,118295.09,119077.71,118032.32,118968.91,119143.68176234867,120098.78125000036,119900.35699999971,121378.21542450612,117501.9271666667,117956.88407174531
1755230400,118968.91,119216.82,118629.58,118956.45,119081.27117489911,119991.25208333372,119938.62866666638,121373.77332526408,117506.18938888895,117979.09664792876
1755244800,118956.45,119144.5,118600,119006.01,119056.18411659941,119926.4383333337,119961.1429999997,121347.7775589484,117507.50577777784,118001.91694464146
1755259200,119006.01,119130.77,116827.29,117275.22,118462.52941106628,119799.80583333371,119909.81699999972,121285.07122050099,117497.3916666667,117985.76812364941
1755273600,117275.23,117882.35,116803.99,116936.27,117953.77627404418,119710.09625000037,119852.25666666638,121191.13410458612,117484.64783333337,117962.44594312385
1755288000,116936.28,117761.88,116862.5,117342.05,117749.86751602945,119654.09833333372,119787.19133333304,121079.22238908296,117477.49016666671,117948.65936660998
1755302400,117342.04,117898.99,117231.14,117429.63,117643.12167735297,119594.59541666704,119643.87933333305,120956.4389221308,117473.60588888894,117937.1253806853
1755316800,117429.63,117884,117278,117596.07,117627.43778490198,119536.65166666704,119512.50999999972,120826.38223538072,117469.62988888893,117929.54637222564
1755331200,117596.07,117703.92,117143.98,117378.52,117544.46518993465,119488.99750000036,119406.40933333305,120686.92201682503,117466.20500000006,117917.30134173173
1755345600,117378.52,117825,117327.63,117676.7,117588.54345995643,119394.98500000038,119318.48599999971,120543.50200966893,117459.5089444445,117911.95464524881
1755360000,117676.7,117817.65,117629.94,117672.12,117616.40230663762,119311.93708333372,119271.24666666637,120397.90340308732,117452.35594444451,117906.6249864655
1755374400,117672.13,117713.51,117219.34,117380.66,117537.82153775841,119197.21125000039,119227.73533333304,120248.36000581835,117442.37316666672,117894.93687565516
1755388800,117380.66,117771.37,117172.21,117684.95,117586.86435850561,119122.33375000035,119188.6436666664,120101.53012281739,117428.27238888893,117890.27050064059
